"lang" 
{ 
"Language" "danish" 
"Tokens" 
{ 
"HL2_Chapter1_Title"		"PUNKTINDSATS"
"HL2_Chapter2_Title"		"\"RØD DAG I KALENDEREN\""
"HL2_Chapter3_Title"		"RUTEKANAL"
"HL2_Chapter4_Title"		"VANDHINDRING"
"HL2_Chapter5_Title"		"BLACK MESA ØST"
"HL2_Chapter6_Title"		"\"VI TAGER IKKE TIL RAVENHOLM...\""
"HL2_Chapter7_Title"		"HIGHWAY 17"
"HL2_Chapter8_Title"		"SANDFÆLDER"
"HL2_Chapter9_Title"		"NOVA PROSPEKT"
"HL2_Chapter9a_Title"		"FORVIKLING"
"HL2_Chapter10_Title"		"ANTIBORGER ÉT"
"HL2_Chapter11_Title"		"\"FØLG FREEMAN!\""
"HL2_Chapter12_Title"		"VORES VELGØRERE"
"HL2_Chapter13_Title"		"MØRK ENERGI"
"HL2_Chapter14_Title"		"MEDVIRKENDE"

"hl2_AmmoFull"			"FULD"

"HL2_GameOver_Object"			"OPGAVE: AFBRUDT\nEMNE: FREEMAN\nÅRSAG: KUNNE IKKE OPRETHOLDE MISSIONSKRITISKE RESSOURCER"

"HL2_GameOver_Ally"			"OPGAVE: AFBRUDT\nEMNE: FREEMAN\nÅRSAG: KUNNE IKKE OPRETHOLDE MISSIONSKRITISK PERSONALE"

"HL2_GameOver_Timer"			"OPGAVE: AFBRUDT\nEMNE: FREEMAN\nÅRSAG: KUNNE IKKE FORHINDRE TIDSKRITISK SEKVENS"

"HL2_GameOver_Stuck"			"OPGAVE: AFBRUDT\nMÅL: FREEMAN\nÅRSAG: UDVISTE EKSTREMT DÅRLIG DØMMEKRAFT"

"HL2_357Handgun"	".357 MAGNUM"
"HL2_Pulse_Rifle"	"OVERWATCH-STANDARDUDSTYR\n(IMPULSRIFFEL)"
"HL2_Bugbait"		"FEROPOD\n(INSEKTMADDING)"
"HL2_Crossbow"		"ARMBRØST"
"HL2_Crowbar"		"BRÆKJERN"
"HL2_Grenade"		"GRANAT"
"HL2_GravityGun"	"NULPUNKTSENERGIGEVÆR\n(TYNGDEKRAFTVÅBEN)"
"HL2_Pistol"		"9 MM PISTOL"
"HL2_RPG"		"RPG\n(RAKETSTYRET GRANAT)"
"HL2_Shotgun"		"HAGLGEVÆR"
"HL2_SMG1"		"SMG\n(MASKINPISTOL)"

"HL2_Saved"		"Gemt..."

"HL2_Credits_VoicesTitle"		"Stemmer:"
"HL2_Credits_Eli"			"Robert Guillaume - Dr. Eli Vance."
"HL2_Credits_Breen"			"Robert Culp - Dr. Wallace Breen"
"HL2_Credits_Vortigaunt"		"Lou Gossett, Jr. - Vortigaunt"
"HL2_Credits_Mossman"			"Michelle Forbes - Dr. Judith Mossman"
"HL2_Credits_Alyx"			"Merle Dandridge - Alyx Vance"
"HL2_Credits_Barney"			"Mike Shapiro - Barney Calhoun"
"HL2_Credits_Gman"			"Mike Shapiro - Gman"
"HL2_Credits_Kleiner"			"Harry S. Robins - Dr. Isaac Kleiner"
"HL2_Credits_Grigori"			"Jim French - Father Grigori"
"HL2_Credits_Misc1"			"John Patrick Lowrie - Borgere\\diverse figurer"
"HL2_Credits_Misc2"			"Mary Kae Irvin - Borgere\\diverse figurer"
"HL2_Credits_Overwatch"			"Ellen McLain - Overwatch"

"HL2_Credits_VoiceCastingTitle"		"Stemme-casting:"
"HL2_Credits_VoiceCastingText"		"Shana Landsburg\\Teri Fiddleman"

"HL2_Credits_VoiceRecordingTitle"	"Taleindspilning:"
"HL2_Credits_VoiceRecordingText1"	"Pure Audio, Seattle, WA"
"HL2_Credits_VoiceRecordingText2"	"LA Studios, LA, CA"

"HL2_Credits_VoiceSchedulingTitle"	"Taleindspilning - planlægning og logistik:"
"HL2_Credits_VoiceSchedulingText"	"Pat Cockburn, Pure Audio"

"HL2_Credits_LegalTeam"			"Juridisk team:"
"HL2_Credits_FacesThanks"		"Tak til følgende for brug af deres ansigter:"
"HL2_Credits_SpecialThanks"		"Særlig tak til alle hos:"

"HL2_Annabelle"                 "ANNABELLE"
"HL2_AlyxGun"                   "ALYX' PISTOL"
"HL2_CitizenPackage"            "NÆRINGSPAKKE"
"HL2_CitizenSuitcase"           "KUFFERT"
"HL2_Cubemap"                   "CUBEMAP"
"HL2_StunBaton"                 "STRØMKNIPPEL"

"HL2_HIT_CANCOP_WITHCAN_NAME"		"Trodsig"
"HL2_HIT_CANCOP_WITHCAN_DESC"		"Ram skraldebøttebetjenten med dåsen."
"HL2_PUT_CANINTRASH_NAME"		"Underdanig"
"HL2_PUT_CANINTRASH_DESC"		"Læg dåsen i skraldebøtten."
"HL2_ESCAPE_APARTMENTRAID_NAME"		"Utilfreds"
"HL2_ESCAPE_APARTMENTRAID_DESC"		"Undslip razziaen i boligblokken."
"HL2_BREAK_MINITELEPORTER_NAME"		"Hvilken kat?"
"HL2_BREAK_MINITELEPORTER_DESC"		"Smadr mini-teleporteren i Kleiners laboratorium."
"HL2_GET_CROWBAR_NAME"			"Pålideligt isenkram"
"HL2_GET_CROWBAR_DESC"			"Få fat i brækjernet."
"HL2_KILL_BARNACLESWITHBARREL_NAME"	"Barnacle-bowling"
"HL2_KILL_BARNACLESWITHBARREL_DESC"	"Dræb fem barnacler med en tønde."
"HL2_GET_AIRBOAT_NAME"			"Let anker!"
"HL2_GET_AIRBOAT_DESC"			"Få fat i propelbåden."
"HL2_FLOAT_WITHAIRBOAT_NAME"		"En mundfuld luft"
"HL2_FLOAT_WITHAIRBOAT_DESC"		"Svæv i fem sekunder i luften med propelbåden."
"HL2_GET_AIRBOATGUN_NAME"		"Tunge våben"
"HL2_GET_AIRBOATGUN_DESC"		"Få fat i propelbådens fastmonterede gevær."
"HL2_FIND_VORTIGAUNTCAVE_NAME"		"Vorti-host"
"HL2_FIND_VORTIGAUNTCAVE_DESC"		"Opdag den skjulte syngende vortigaunt-hule i kapitlet Vandhindring."
"HL2_KILL_CHOPPER_NAME"			"Hævn!"
"HL2_KILL_CHOPPER_DESC"			"Tilintetgør jagthelikopteren i Half-Life 2."
"HL2_FIND_HEVFACEPLATE_NAME"		"Et pust fra fortiden"
"HL2_FIND_HEVFACEPLATE_DESC"		"Find frontpladen til HEV-dragtladeren på Elis skrotplads."
"HL2_GET_GRAVITYGUN_NAME"		"Nulpunktsenergi"
"HL2_GET_GRAVITYGUN_DESC"		"Få fat i tyngdekraftvåbnet i Black Mesa-øst."
"HL2_MAKEABASKET_NAME"			"To point"
"HL2_MAKEABASKET_DESC"			"Brug DOGs bold til at score på Elis skrotplads."
"HL2_BEAT_RAVENHOLM_NOWEAPONS_NAME"	"Zombie-hakker"
"HL2_BEAT_RAVENHOLM_NOWEAPONS_DESC"	"Spil igennem Ravenholm kun ved hjælp af tyngdekraftvåbnet."
"HL2_BEAT_CEMETERY_NAME"		"Hellig jord"
"HL2_BEAT_CEMETERY_DESC"		"Eskorter Grigori sikkert igennem kirkegården."
"HL2_KILL_ENEMIES_WITHCRANE_NAME"	"Arbejdstilsynets fjende"
"HL2_KILL_ENEMIES_WITHCRANE_DESC"	"Dræb 3 fjender med kranen."
"HL2_PIN_SOLDIER_TOBILLBOARD_NAME"	"Målrettet reklame"
"HL2_PIN_SOLDIER_TOBILLBOARD_DESC"	"Hæft en soldat fast på reklameskiltet i kapitlet Highway 17."
"HL2_KILL_ODESSAGUNSHIP_NAME"		"Hvor Cubbage ej tør gå"
"HL2_KILL_ODESSAGUNSHIP_DESC"		"Forsvar Little Odessa imod kampfartøjets angreb."
"HL2_KILL_THREEGUNSHIPS_NAME"		"Enmandshær"
"HL2_KILL_THREEGUNSHIPS_DESC"		"Tilintetgør seks kampfartøjer i Half-Life 2."
"HL2_BEAT_DONTTOUCHSAND_NAME"		"Sandet må ikke betrædes!"
"HL2_BEAT_DONTTOUCHSAND_DESC"		"Kryds antlion-stranden i kapitlet Sandfælder uden at berøre sandet."
"HL2_KILL_BOTHPRISONGUNSHIPS_NAME"	"Uindbudt gæst"
"HL2_KILL_BOTHPRISONGUNSHIPS_DESC"	"Dræb begge kampfartøjer i Nova Prospekt-gården."
"HL2_KILL_ENEMIES_WITHANTLIONS_NAME"	"Insektjagt"
"HL2_KILL_ENEMIES_WITHANTLIONS_DESC"	"Brug antlionerne til at dræbe 50 fjender."
"HL2_KILL_ENEMY_WITHTOILET_NAME"	"Skyllet ud"
"HL2_KILL_ENEMY_WITHTOILET_DESC"	"Dræb en fjende med et toilet."
"HL2_BEAT_TURRETSTANDOFF2_NAME"		"Vogter Freeman"
"HL2_BEAT_TURRETSTANDOFF2_DESC"		"Overlev anden tårnduel i Nova Prospekt."
"HL2_FOLLOWFREEMAN_NAME"		"Følg Freeman"
"HL2_FOLLOWFREEMAN_DESC"		"Tag kommandoen over en gruppe oprørere i opstanden."
"HL2_BEAT_TOXICTUNNEL_NAME"		"Strålingsniveauer registreret"
