"lang" 
{ 
"Language" "dutch" 
"Tokens" 
{ 
"HL2_Chapter1_Title"		"POINT INSERTION"
"HL2_Chapter2_Title"		"\"A RED LETTER DAY\""
"HL2_Chapter3_Title"		"ROUTE KANAL"
"HL2_Chapter4_Title"		"WATER HAZARD"
"HL2_Chapter5_Title"		"BLACK MESA EAST"
"HL2_Chapter6_Title"		"\"WE DON'T GO TO RAVENHOLM...\""
"HL2_Chapter7_Title"		"HIGHWAY 17"
"HL2_Chapter8_Title"		"SANDTRAPS"
"HL2_Chapter9_Title"		"NOVA PROSPEKT"
"HL2_Chapter9a_Title"		"ENTANGLEMENT"
"HL2_Chapter10_Title"		"ANTICITIZEN ONE"
"HL2_Chapter11_Title"		"\"FOLLOW FREEMAN!\""
"HL2_Chapter12_Title"		"OUR BENEFACTORS"
"HL2_Chapter13_Title"		"DARK ENERGY"
"HL2_Chapter14_Title"		"CREDITS"

"hl2_AmmoFull"			"VOL"

"HL2_GameOver_Object"			"OPDRACHT: BEËINDIGD\nBETREFT: FREEMAN\nREDEN: VERZUIMD ONMISBARE RESOURCES TE BEHOUDEN"

"HL2_GameOver_Ally"			"OPDRACHT: BEËINDIGD\nBETREFT: FREEMAN\nREDEN: VERZUIMD ONMISBAAR PERSONEEL IN LEVEN TE HOUDEN"

"HL2_GameOver_Timer"			"OPDRACHT: BEËINDIGD\nBETREFT: FREEMAN\nREDEN: VERZUIMD GEBEURTENIS BINNEN GESTELDE TIJD TE VOORKOMEN"

"HL2_GameOver_Stuck"			"OPDRACHT: BEËINDIGD\nBETREFT: FREEMAN\nREDEN: UITZONDERLIJK LAAG INSCHATTINGSVERMOGEN"

"HL2_357Handgun"	".357 MAGNUM"
"HL2_Pulse_Rifle"	"OVERWATCH STANDARD ISSUE\n(PULSE-RIFLE)"
"HL2_Bugbait"		"PHEROPOD\n(AAS)"
"HL2_Crossbow"		"KRUISBOOG"
"HL2_Crowbar"		"KOEVOET"
"HL2_Grenade"		"GRANAAT"
"HL2_GravityGun"	"ZERO-POINT ENERGY GUN\n(GRAVITY GUN)"
"HL2_Pistol"		"9MM"
"HL2_RPG"		"RPG\n(RAKETWERPER)"
"HL2_Shotgun"		"SHOTGUN"
"HL2_SMG1"		"SMG\n(SUBMACHINE GUN)"

"HL2_Saved"		"Opgeslagen..."

"HL2_Credits_VoicesTitle"		"Stemmen:"
"HL2_Credits_Eli"			"Robert Guillaume - Dr. Eli Vance"
"HL2_Credits_Breen"			"Robert Culp - Dr. Wallace Breen"
"HL2_Credits_Vortigaunt"		"Lou Gossett, Jr. - Vortigaunt"
"HL2_Credits_Mossman"			"Michelle Forbes - Dr. Judith Mossman"
"HL2_Credits_Alyx"			"Merle Dandridge - Alyx Vance"
"HL2_Credits_Barney"			"Mike Shapiro - Barney Calhoun"
"HL2_Credits_Gman"			"Mike Shapiro - Gman"
"HL2_Credits_Kleiner"			"Harry S. Robins - Dr. Isaac Kleiner"
"HL2_Credits_Grigori"			"Jim French - Father Grigori"
"HL2_Credits_Misc1"			"John Patrick Lowrie - Burgers\\verschillende personages"
"HL2_Credits_Misc2"			"Mary Kae Irvin - Burgers\\verschillende personages"
"HL2_Credits_Overwatch"			"Ellen McLain - Overwatch"

"HL2_Credits_VoiceCastingTitle"		"Stemcasting:"
"HL2_Credits_VoiceCastingText"		"Shana Landsburg\\Teri Fiddleman"

"HL2_Credits_VoiceRecordingTitle"	"Stemopname:"
"HL2_Credits_VoiceRecordingText1"	"Pure Audio, Seattle, WA, Verenigde Staten"
"HL2_Credits_VoiceRecordingText2"	"LA Studios, LA, CA, Verenigde Staten"

"HL2_Credits_VoiceSchedulingTitle"	"Planning en logistiek stemopname:"
"HL2_Credits_VoiceSchedulingText"	"Pat Cockburn, Pure Audio"

"HL2_Credits_LegalTeam"			"Juridische ondersteuning:"
"HL2_Credits_FacesThanks"		"Met dank aan de volgende personen voor het gebruik van hun gelaatskenmerken:"
