"lang" 
{ 
"Language" "french" 
"Tokens" 
{ 
"HL2_Chapter1_Title"		"POINT D'INSERTION"
"HL2_Chapter2_Title"		"« UN JOUR MÉMORABLE »"
"HL2_Chapter3_Title"		"ITINÉRAIRE KANAL"
"HL2_Chapter4_Title"		"DANGER AQUATIQUE"
"HL2_Chapter5_Title"		"BLACK MESA EST"
"HL2_Chapter6_Title"		"« NOUS N'ALLONS PAS A RAVENHOLM... »"
"HL2_Chapter7_Title"		"AUTOROUTE 17"
"HL2_Chapter8_Title"		"PIÈGES DE SABLE"
"HL2_Chapter9_Title"		"NOVA PROSPEKT"
"HL2_Chapter9a_Title"		"CORRÉLATION QUANTIQUE"
"HL2_Chapter10_Title"		"ANTI-CITOYEN UN"
"HL2_Chapter11_Title"		"« SUIVEZ FREEMAN ! »"
"HL2_Chapter12_Title"		"NOS BIENFAITEURS"
"HL2_Chapter13_Title"		"ÉNERGIE SOMBRE"
"HL2_Chapter14_Title"		"CRÉDITS"

"hl2_AmmoFull"			"PLEIN"

"HL2_GameOver_Object"			"MISSION : TERMINÉE\nSUJET : FREEMAN\nMOTIF : ÉCHEC DE PROTECTION DES RESSOURCES VITALES POUR LA MISSION"

"HL2_GameOver_Ally"			"MISSION : TERMINÉE\nSUJET : FREEMAN\nMOTIF : ÉCHEC DE PROTECTION DU PERSONNEL ESSENTIEL POUR LA MISSION"

"HL2_GameOver_Timer"			"MISSION : TERMINÉE\nSUJET : FREEMAN\nMOTIF : ÉCHEC DU A L'EXPIRATION DU TEMPS IMPARTI POUR COMPLÉTER LA MISSION"

"HL2_GameOver_Stuck"			"MISSION : TERMINÉE\nSUJET : FREEMAN\nMOTIF : MANQUE DE JUGEOTE ÉVIDENT"

"HL2_357Handgun"	"MAGNUM 357"
"HL2_Pulse_Rifle"	"ÉQUIPEMENT DE BASE DE LA MILICE\n(FUSIL À IMPULSION)"
"HL2_Bugbait"		"PHÉROPODE\n(APPÂT)"
"HL2_Crossbow"		"ARBALÈTE"
"HL2_Crowbar"		"PIED-DE-BICHE"
"HL2_Grenade"		"GRENADE"
"HL2_GravityGun"	"PISTOLET ÉNERGÉTIQUE POINT ZÉRO\n(PISTOLET ANTI-GRAVITÉ)"
"HL2_Pistol"		"PISTOLET 9 MM"
"HL2_RPG"		"RPG\n(LANCE-ROQUETTES)"
"HL2_Shotgun"		"FUSIL À POMPE"
"HL2_SMG1"		"FM\n(FUSIL MITRAILLEUR)"

"HL2_Saved"		"Sauvegardé..."

"HL2_Credits_VoicesTitle"		"Voix :"
"HL2_Credits_Eli"			"Robert Guillaume - Dr. Eli Vance (version anglaise)"
"HL2_Credits_Breen"			"Robert Culp - Dr. Wallace Breen (version anglaise)"
"HL2_Credits_Vortigaunt"		"Lou Gossett, Jr. - Vortigaunt (version anglaise)"
"HL2_Credits_Mossman"			"Michelle Forbes - Dr. Judith Mossman (version anglaise)"
"HL2_Credits_Alyx"			"Merle Dandridge - Alyx Vance (version anglaise)"
"HL2_Credits_Barney"			"Mike Shapiro - Barney Calhoun (version anglaise)"
"HL2_Credits_Gman"			"Mike Shapiro - Gman (version anglaise)"
"HL2_Credits_Kleiner"			"Harry S. Robins - Dr. Isaac Kleiner (version anglaise)"
"HL2_Credits_Grigori"			"Jim French - Père Grigori (version anglaise)"
"HL2_Credits_Misc1"			"John Patrick Lowrie - Citoyens\\Divers personnages (version anglaise)"
"HL2_Credits_Misc2"			"Mary Kae Irvin - Citoyens\\Divers personnages (version anglaise)"
"HL2_Credits_Overwatch"			"Ellen McLain - Milice (version anglaise)"

"HL2_Credits_VoiceCastingTitle"		"Distribution artistique :"
"HL2_Credits_VoiceCastingText"		"Shana Landsburg\\Teri Fiddleman"

"HL2_Credits_VoiceRecordingTitle"	"Enregistrement :"
"HL2_Credits_VoiceRecordingText1"	"Pure Audio, Seattle, WA"
"HL2_Credits_VoiceRecordingText2"	"LA Studios, LA, CA"

"HL2_Credits_VoiceSchedulingTitle"	"Planification et logistique enregistrements :"
"HL2_Credits_VoiceSchedulingText"	"Pat Cockburn, Pure Audio"

"HL2_Credits_LegalTeam"			"Équipe juridique :"
"HL2_Credits_FacesThanks"		"Merci a tous ceux qui nous ont permis d'utiliser leur visage :"
"HL2_Credits_SpecialThanks"		"Un grand merci aux équipes de :"

"HL2_Annabelle"                 "ANNABELLE"
"HL2_AlyxGun"                   "PISTOLET D'ALYX"
"HL2_CitizenPackage"            "RATION ALIMENTAIRE"
"HL2_CitizenSuitcase"           "VALISE"
"HL2_Cubemap"                   "CUBEMAP"
"HL2_StunBaton"                 "MATRAQUE ÉLECTRIQUE"

"HL2_HIT_CANCOP_WITHCAN_NAME"		"Rebelle"
"HL2_HIT_CANCOP_WITHCAN_DESC"		"Lancez la canette sur le policier."
"HL2_PUT_CANINTRASH_NAME"		"Docile"
"HL2_PUT_CANINTRASH_DESC"		"Placez la canette dans la poubelle."
"HL2_ESCAPE_APARTMENTRAID_NAME"		"Grognon"
"HL2_ESCAPE_APARTMENTRAID_DESC"		"Échappez-vous de l'immeuble."
"HL2_BREAK_MINITELEPORTER_NAME"		"Quel chat ?"
"HL2_BREAK_MINITELEPORTER_DESC"		"Cassez le mini-téléporteur dans le labo du Dr Kleiner."
"HL2_GET_CROWBAR_NAME"			"Du matériel fiable"
"HL2_GET_CROWBAR_DESC"			"Emparez-vous du pied-de-biche."
"HL2_KILL_BARNACLESWITHBARREL_NAME"	"Le bowling des bernacles"
"HL2_KILL_BARNACLESWITHBARREL_DESC"	"Tuez cinq bernacles avec un seul baril."
"HL2_GET_AIRBOAT_NAME"			"Levez l'ancre !"
"HL2_GET_AIRBOAT_DESC"			"Emparez-vous de l'hydroglisseur."
"HL2_FLOAT_WITHAIRBOAT_NAME"		"Prise d'air"
"HL2_FLOAT_WITHAIRBOAT_DESC"		"Flottez pendant cinq secondes dans les airs avec l'hydroglisseur."
"HL2_GET_AIRBOATGUN_NAME"		"Armes lourdes"
"HL2_GET_AIRBOATGUN_DESC"		"Emparez-vous du fusil d'assaut de l'hydroglisseur."
"HL2_FIND_VORTIGAUNTCAVE_NAME"		"Vortitoux"
"HL2_FIND_VORTIGAUNTCAVE_DESC"		"Découvrez la grotte cachée des Vortigaunts chantants du chapitre Danger aquatique."
