"lang" 
{ 
"Language" "japanese" 
"Tokens" 
{ 
"HL2_Chapter1_Title"		"挿入点"
"HL2_Chapter2_Title"		"\"特別な日\""
"HL2_Chapter3_Title"		"ルート・カナール"
"HL2_Chapter4_Title"		"ウォーターハザード"
"HL2_Chapter5_Title"		"ブラック・メサ・イースト"
"HL2_Chapter6_Title"		"\"レーベンホルムには行かない...\""
"HL2_Chapter7_Title"		"17 号ハイウェイ"
"HL2_Chapter8_Title"		"サンドトラップ"
"HL2_Chapter9_Title"		"ノバ・プロスペクト"
"HL2_Chapter9a_Title"		"輸送網"
"HL2_Chapter10_Title"		"敵性市民 1"
"HL2_Chapter11_Title"		"\"フリーマンに続け!\""
"HL2_Chapter12_Title"		"我が支援者たち"
"HL2_Chapter13_Title"		"暗黒エネルギー"
"HL2_Chapter14_Title"		"クレジット"

"hl2_AmmoFull"			"フル"

"HL2_GameOver_Object"			"任務終了\n対象: フリーマン\n理由: 最重要資源の確保に失敗したため"

"HL2_GameOver_Ally"			"任務終了\n対象: フリーマン\n理由: 最重要人物の確保に失敗したため"

"HL2_GameOver_Timer"			"任務終了\n対象: フリーマン\n理由: 最優先順位の阻止事項に失敗したため"

"HL2_GameOver_Stuck"			"任務終了\n対象: フリーマン\n理由: 判断力の致命的な欠如のため"

"HL2_357Handgun"	"357 マグナム"
"HL2_Pulse_Rifle"	"監視員標準仕様\n(パルスライフル)"
"HL2_Bugbait"		"フェロポッド\n(虫寄せ)"
"HL2_Crossbow"		"クロスボウ"
"HL2_Crowbar"		"バール"
"HL2_Grenade"		"手榴弾"
"HL2_GravityGun"	"零点エネルギー銃\n(重力銃)"
"HL2_Pistol"		"9mm ピストル"
"HL2_RPG"		"RPG\n(ロケット推進擲弾)"
"HL2_Shotgun"		"ショットガン"
"HL2_SMG1"		"SMG\n(サブマシンガン)"

"HL2_Saved"		"セーブ完了..."

"HL2_Credits_VoicesTitle"		"声の出演:"
"HL2_Credits_Eli"			"Robert Guillaume -  イーライ バンス博士"
"HL2_Credits_Breen"			"Robert Culp -  ウォレス・ブリーン博士"
"HL2_Credits_Vortigaunt"		"Lou Gossett, Jr. - ボーティガンツ"
"HL2_Credits_Mossman"			"Michelle Forbes -  ジュディス・モスマン博士"
"HL2_Credits_Alyx"			"Merle Dandridge - アリックス・バンス"
"HL2_Credits_Barney"			"Mike Shapiro - バーニィ・カルホーン"
"HL2_Credits_Gman"			"Mike Shapiro - Gman"
"HL2_Credits_Kleiner"			"Harry S. Robins -  アイザック・クライナー博士"
"HL2_Credits_Grigori"			"Jim French - グリゴリ神父"
"HL2_Credits_Misc1"			"John Patrick Lowrie - 市民\\その他の キャラクター"
"HL2_Credits_Misc2"			"Mary Kae Irvin - 市民\\その他の キャラクター"
"HL2_Credits_Overwatch"			"Ellen McLain - 監視員"

"HL2_Credits_VoiceCastingTitle"		"声優キャスティング:"
"HL2_Credits_VoiceCastingText"		"Shana Landsburg / Teri Fiddleman"

"HL2_Credits_VoiceRecordingTitle"	"音声録音:"
"HL2_Credits_VoiceRecordingText1"	"Pure Audio, Seattle, WA"
"HL2_Credits_VoiceRecordingText2"	"LA Studios, LA, CA"

"HL2_Credits_VoiceSchedulingTitle"	"音声録音スケジュールおよび手配:"
"HL2_Credits_VoiceSchedulingText"	"Pat Cockburn, Pure Audio"

"HL2_Credits_LegalTeam"			"熟練リーガル・チーム:"
"HL2_Credits_FacesThanks"		"顔のモデル:"
"HL2_Credits_SpecialThanks"		"協力:"

"HL2_Annabelle"                 "アナベル"
"HL2_AlyxGun"                   "アリックスのピストル"
"HL2_CitizenPackage"            "食料"
"HL2_CitizenSuitcase"           "スーツケース"
"HL2_Cubemap"                   "キューブマップ"
"HL2_StunBaton"                 "スタンスティック"

"HL2_HIT_CANCOP_WITHCAN_NAME"		"反抗"
"HL2_HIT_CANCOP_WITHCAN_DESC"		"ごみ箱の近くにいる警官に空き缶をぶつける。"
"HL2_PUT_CANINTRASH_NAME"		"従順"
"HL2_PUT_CANINTRASH_DESC"		"空き缶をごみ箱に捨てる。"
"HL2_ESCAPE_APARTMENTRAID_NAME"		"反体制"
"HL2_ESCAPE_APARTMENTRAID_DESC"		"アパート区画の襲撃から逃れる。"
"HL2_BREAK_MINITELEPORTER_NAME"		"猫って何よ?"
"HL2_BREAK_MINITELEPORTER_DESC"		"クライナーの研究所にあるミニテレポーターを破壊する。"
"HL2_GET_CROWBAR_NAME"			"頼れる道具"
"HL2_GET_CROWBAR_DESC"			"バールを手に入れる。"
"HL2_KILL_BARNACLESWITHBARREL_NAME"	"バーナクルボーリング"
"HL2_KILL_BARNACLESWITHBARREL_DESC"	"1 つの樽で、5 体のバーナクルを倒す。"
"HL2_GET_AIRBOAT_NAME"			"いかりを揚げろ!"
"HL2_GET_AIRBOAT_DESC"			"エアボートを手に入れる。"
"HL2_FLOAT_WITHAIRBOAT_NAME"		"空中浮遊"
"HL2_FLOAT_WITHAIRBOAT_DESC"		"エアボートを使い、5 秒間空中に浮く。"
"HL2_GET_AIRBOATGUN_NAME"		"重火器"
"HL2_GET_AIRBOATGUN_DESC"		"エアボートに搭載された銃を手に入れる。"
"HL2_FIND_VORTIGAUNTCAVE_NAME"		"ボーティの洞窟"
"HL2_FIND_VORTIGAUNTCAVE_DESC"		"「ウォーターハザード」のチャプターで、ボーティガンツが歌を歌う秘密の洞窟を発見する。"
"HL2_KILL_CHOPPER_NAME"			"復讐!"
"HL2_KILL_CHOPPER_DESC"			"Half-Life 2 で戦闘ヘリを破壊する。"
"HL2_FIND_HEVFACEPLATE_NAME"		"懐かしき過去"
"HL2_FIND_HEVFACEPLATE_DESC"		"イーライのゴミ処理場で、HEV スーツチャージャーのフェイスプレートを見つける。"
"HL2_GET_GRAVITYGUN_NAME"		"零点エネルギー銃"
"HL2_GET_GRAVITYGUN_DESC"		"ブラック・メサ・イーストで重力銃を手に入れる。"
"HL2_MAKEABASKET_NAME"			"2 点"
"HL2_MAKEABASKET_DESC"			"イーライのゴミ処理場で、DOG のボールを使ってバスケットのゴールにシュートを決める。"
"HL2_BEAT_RAVENHOLM_NOWEAPONS_NAME"	"ゾンビチョッパー"
"HL2_BEAT_RAVENHOLM_NOWEAPONS_DESC"	"重力銃以外は武器を使わずに、レーベンホルムを通過する。"
"HL2_BEAT_CEMETERY_NAME"		"神聖な土地"
"HL2_BEAT_CEMETERY_DESC"		"グリゴリ神父と一緒に、教会の墓地を無事に通過する。"
"HL2_KILL_ENEMIES_WITHCRANE_NAME"	"安全衛生規定違反"
"HL2_KILL_ENEMIES_WITHCRANE_DESC"	"クレーンを使用して、敵を 3 体倒す。"
"HL2_PIN_SOLDIER_TOBILLBOARD_NAME"	"ターゲット広告"
"HL2_PIN_SOLDIER_TOBILLBOARD_DESC"	"「17 号ハイウェイ」のチャプターで、兵士が広告看板から動けないようにする。"
"HL2_KILL_ODESSAGUNSHIP_NAME"		"カベッジの恐れる場所"
"HL2_KILL_ODESSAGUNSHIP_DESC"		"いたいけなオデッサをガンシップの攻撃から守る。"
"HL2_KILL_THREEGUNSHIPS_NAME"		"ワンマン軍隊"
"HL2_KILL_THREEGUNSHIPS_DESC"		"Half-Life 2 で、ガンシップ 6 機を撃墜する。"
"HL2_BEAT_DONTTOUCHSAND_NAME"		"砂に近寄るな!"
"HL2_BEAT_DONTTOUCHSAND_DESC"		"「サンドトラップ」のチャプターで、砂を直接踏まないように、アントライオンの砂浜を横断する。"
"HL2_KILL_BOTHPRISONGUNSHIPS_NAME"	"招かれざる客"
"HL2_KILL_BOTHPRISONGUNSHIPS_DESC"	"ノバ・プロスペクトの中庭で、ガンシップを 2 機とも撃墜する。"
"HL2_KILL_ENEMIES_WITHANTLIONS_NAME"	"虫で退治"
"HL2_KILL_ENEMIES_WITHANTLIONS_DESC"	"アントライオンを操って、敵を 50 体倒す。"
"HL2_KILL_ENEMY_WITHTOILET_NAME"	"水洗葬"
"HL2_KILL_ENEMY_WITHTOILET_DESC"	"トイレを使って敵を倒す。"
"HL2_BEAT_TURRETSTANDOFF2_NAME"		"刑務所長フリーマン"
"HL2_BEAT_TURRETSTANDOFF2_DESC"		"ノバ・プロスペクトで、第 2 のタレットとの戦いを生き抜く。"
"HL2_FOLLOWFREEMAN_NAME"		"フリーマンに続け"
"HL2_FOLLOWFREEMAN_DESC"		"反乱軍を率いて戦う。"
"HL2_BEAT_TOXICTUNNEL_NAME"		"大量の放射線を検知"
"HL2_BEAT_TOXICTUNNEL_DESC"		"Half-Life 2 で、シティ 17 の有毒トンネルを通り抜ける。"
"HL2_BEAT_PLAZASTANDOFF_NAME"		"プラザのディフェンダー"
