"lang" 
{ 
"Language" "korean" 
"Tokens" 
{ 
"HL2_Chapter1_Title"		"도착 지점"
"HL2_Chapter2_Title"		"\"공휴일\""
"HL2_Chapter3_Title"		"운하"
"HL2_Chapter4_Title"		"물 조심"
"HL2_Chapter5_Title"		"블랙 메사 동부"
"HL2_Chapter6_Title"		"\"레이븐 홈으로는 가지 않아...\""
"HL2_Chapter7_Title"		"17번 고속도로"
"HL2_Chapter8_Title"		"모래 함정"
"HL2_Chapter9_Title"		"노바 프로스펙트"
"HL2_Chapter9a_Title"		"연루"
"HL2_Chapter10_Title"		"반시민 1"
"HL2_Chapter11_Title"		"\"프리맨을 따라요!\""
"HL2_Chapter12_Title"		"우리의 은인들"
"HL2_Chapter13_Title"		"암흑 에너지"
"HL2_Chapter14_Title"		"크레딧"

"hl2_AmmoFull"			"꽉 참"

"HL2_GameOver_Object"			"임무: 종결\n대상: 프리맨\n이유: 중요한 자원을 지키지 못함"

"HL2_GameOver_Ally"			"임무: 종결\n대상: 프리맨\n이유: 중요한 인물을 지키지 못함"

"HL2_GameOver_Timer"			"임무: 종결\n대상: 프리맨\n이유: 시간 제한 초과"

"HL2_GameOver_Stuck"			"임무: 종결\n대상: 프리맨\n이유: 형편없는 판단력"

"HL2_357Handgun"	".357 매그넘"
"HL2_Pulse_Rifle"	"오버워치 표준 소총\n(펄스-소총)"
"HL2_Bugbait"		"페로포드\n(벌레미끼)"
"HL2_Crossbow"		"석궁"
"HL2_Crowbar"		"크로우바"
"HL2_Grenade"		"수류탄"
"HL2_GravityGun"	"영점 에너지 건\n(중력건)"
"HL2_Pistol"		"9MM 권총"
"HL2_RPG"		"RPG\n(로켓 추진 수류탄)"
"HL2_Shotgun"		"산탄총"
"HL2_SMG1"		"기관단총\n(소형 기관총)"

"HL2_Saved"		"저장 완료"

"HL2_Credits_VoicesTitle"		"성우:"
"HL2_Credits_Eli"			"일라이 밴스 박사 - 권혁수"
"HL2_Credits_Breen"			"월리스 브린 박사 - 강구한"
"HL2_Credits_Vortigaunt"		"보르티곤트 - 시영준, 이원찬"
"HL2_Credits_Mossman"			"주디스 모스맨 박사 - 정남"
"HL2_Credits_Alyx"			"알릭스 밴스 - 엄현정"
"HL2_Credits_Barney"			"바니 칼훈 - 최한"
"HL2_Credits_Gman"			"G맨 - 장호비"
"HL2_Credits_Kleiner"			"아이작 클라이너 - 김민성"
"HL2_Credits_Grigori"			"그리고리 신부 - 노민"
"HL2_Credits_Misc1"			"시민 및 기타 캐릭터 - 노민, 시영준, 이원찬, 장호비, 정승욱, 최한"
"HL2_Credits_Misc2"			"시민 및 기타 캐릭터 - 여민정, 이명선"
"HL2_Credits_Overwatch"			"감시부대 - 여민정"

"HL2_Credits_VoiceCastingTitle"		"성우 캐스팅:"
"HL2_Credits_VoiceCastingText"		"Shana Landsburg\\Teri Fiddleman"

"HL2_Credits_VoiceRecordingTitle"	"음성 녹음:"
"HL2_Credits_VoiceRecordingText1"	"Pure Audio, Seattle, WA"
"HL2_Credits_VoiceRecordingText2"	"LA Studios, LA, CA"

"HL2_Credits_VoiceSchedulingTitle"	"녹음 일정 및 세부 계획:"
"HL2_Credits_VoiceSchedulingText"	"Pat Cockburn, Pure Audio"

"HL2_Credits_LegalTeam"			"법률 팀:"
"HL2_Credits_FacesThanks"		"초상 정보의 사용을 허가해주신 다음 분들께 감사의 말씀을 드립니다."
"HL2_Credits_SpecialThanks"		"다음의 모두에게 감사의 말씀을 드립니다."

"HL2_Annabelle"                 "애너벨 소총"
"HL2_AlyxGun"                   "알릭스 권총"
"HL2_CitizenPackage"            "생존 보급품"
"HL2_CitizenSuitcase"           "여행 가방"
"HL2_Cubemap"                   "큐브맵"
"HL2_StunBaton"                 "전기 진압봉"

"HL2_HIT_CANCOP_WITHCAN_NAME"		"반항자"
"HL2_HIT_CANCOP_WITHCAN_DESC"		"쓰레기통 옆의 기동대원을 깡통으로 맞히십시오."
"HL2_PUT_CANINTRASH_NAME"		"순종자"
"HL2_PUT_CANINTRASH_DESC"		"깡통을 쓰레기통에 던져 넣으십시오."
"HL2_ESCAPE_APARTMENTRAID_NAME"		"반란자"
"HL2_ESCAPE_APARTMENTRAID_DESC"		"아파트 단지의 습격에서 탈출하십시오."
"HL2_BREAK_MINITELEPORTER_NAME"		"무슨 고양이요?"
"HL2_BREAK_MINITELEPORTER_DESC"		"클라이너 박사의 연구실에서 소형 텔레포터를 파괴하십시오."
"HL2_GET_CROWBAR_NAME"			"믿음직한 장비"
"HL2_GET_CROWBAR_DESC"			"크로우바를 얻으십시오."
"HL2_KILL_BARNACLESWITHBARREL_NAME"	"바나클 볼링"
"HL2_KILL_BARNACLESWITHBARREL_DESC"	"드럼통을 굴려 바나클 5마리를 처치하십시오."
"HL2_GET_AIRBOAT_NAME"			"닻을 올려라!"
"HL2_GET_AIRBOAT_DESC"			"수상기를 얻으십시오."
"HL2_FLOAT_WITHAIRBOAT_NAME"		"공기 붙잡기"
"HL2_FLOAT_WITHAIRBOAT_DESC"		"수상기를 이용하여 5초 동안 공중에 뜨십시오."
"HL2_GET_AIRBOATGUN_NAME"		"중화기"
"HL2_GET_AIRBOATGUN_DESC"		"수상기의 기관총을 얻으십시오."
"HL2_FIND_VORTIGAUNTCAVE_NAME"		"보르티 감기"
"HL2_FIND_VORTIGAUNTCAVE_DESC"		"'물 조심' 챕터에서 숨어서 노래하는 보르티곤트의 동굴을 발견하십시오."
"HL2_KILL_CHOPPER_NAME"			"복수!"
"HL2_KILL_CHOPPER_DESC"			"Half-Life 2에서 무장 헬기를 파괴하십시오."
"HL2_FIND_HEVFACEPLATE_NAME"		"과거의 충격"
