"lang" 
{ 
"Language" "portuguese" 
"Tokens" 
{ 
"HL2_Chapter1_Title"		"PONTO DE INSERÇÃO"
"HL2_Chapter2_Title"		"\"UM DIA MEMORÁVEL\""
"HL2_Chapter3_Title"		"ROTA DOS CANAIS"
"HL2_Chapter4_Title"		"OBSTÁCULO DE ÁGUA"
"HL2_Chapter5_Title"		"BLACK MESA LESTE"
"HL2_Chapter6_Title"		"\"NÃO VAMOS A RAVENHOLM...\""
"HL2_Chapter7_Title"		"AUTOESTRADA 17"
"HL2_Chapter8_Title"		"AREIAS PERIGOSAS"
"HL2_Chapter9_Title"		"NOVA PROSPEKT"
"HL2_Chapter9a_Title"		"ENTRELAÇAMENTO QUÂNTICO"
"HL2_Chapter10_Title"		"ANTI-CIDADÃO UM"
"HL2_Chapter11_Title"		"\"SIGAM O FREEMAN!\""
"HL2_Chapter12_Title"		"OS NOSSOS BENFEITORES"
"HL2_Chapter13_Title"		"ENERGIA RESIDUAL"
"HL2_Chapter14_Title"		"CRÉDITOS"

"hl2_AmmoFull"			"CHEIA"

"HL2_GameOver_Object"			"MISSÃO: TERMINADA\nSUJEITO: FREEMAN\nRAZÃO: FALHA AO PRESERVAR RECURSOS CRÍTICOS PARA A MISSÃO"

"HL2_GameOver_Ally"			"MISSÃO: TERMINADA\nSUJEITO: FREEMAN\nRAZÃO: FALHA AO PRESERVAR PESSOA CRÍTICA PARA A MISSÃO"

"HL2_GameOver_Timer"			"MISSÃO: TERMINADA\nSUJEITO: FREEMAN\nRAZÃO: FALHA AO IMPEDIR SEQUÊNCIA DE EVENTOS A TEMPO"

"HL2_GameOver_Stuck"			"MISSÃO: TERMINADA\nSUJEITO: FREEMAN\nRAZÃO: EXCESSO DE FALHAS AO REALIZAR DECISÕES"

"HL2_357Handgun"	"MAGNUM .357"
"HL2_Pulse_Rifle"	"ARMA PADRÃO DA VIGILÂNCIA\n(ESPINGARDA DE IMPULSOS)"
"HL2_Bugbait"		"FEROGÉNIO\n(ISCO)"
"HL2_Crossbow"		"BESTA"
"HL2_Crowbar"		"PÉ DE CABRA"
"HL2_Grenade"		"GRANADA"
"HL2_GravityGun"	"ARMA DE ENERGIA DE PONTO ZERO\n(ARMA ANTIGRAVIDADE)"
"HL2_Pistol"		"PISTOLA 9MM"
"HL2_RPG"		"RPG\n(GRANADA PROPULSIONADA POR ROCKET)"
"HL2_Shotgun"		"CAÇADEIRA"
"HL2_SMG1"		"SMG\n(SUBMETRALHADORA)"

"HL2_Saved"		"Guardado..."

"HL2_Credits_VoicesTitle"		"Vozes:"
"HL2_Credits_Eli"			"Robert Guillaume - Dr. Eli Vance"
"HL2_Credits_Breen"			"Robert Culp - Dr. Wallace Breen"
"HL2_Credits_Vortigaunt"		"Lou Gossett, Jr. - Vortigaunt"
"HL2_Credits_Mossman"			"Michelle Forbes - Dra. Judith Mossman"
"HL2_Credits_Alyx"			"Merle Dandridge - Alyx Vance"
"HL2_Credits_Barney"			"Mike Shapiro - Barney Calhoun"
"HL2_Credits_Gman"			"Mike Shapiro - Gman"
"HL2_Credits_Kleiner"			"Harry S. Robins - Dr. Isaac Kleiner"
"HL2_Credits_Grigori"			"Jim French - Padre Grigori"
"HL2_Credits_Misc1"			"John Patrick Lowrie - Cidadãos\\Diversas personagens"
"HL2_Credits_Misc2"			"Mary Kae Irvin - Cidadãs\\Diversas personagens"
"HL2_Credits_Overwatch"			"Ellen McLain - Vigilância"

"HL2_Credits_VoiceCastingTitle"		"Elenco de voz:"
"HL2_Credits_VoiceCastingText"		"Shana Landsburg\\Teri Fiddleman"

"HL2_Credits_VoiceRecordingTitle"	"Gravação de vozes:"
"HL2_Credits_VoiceRecordingText1"	"Pure Audio, Seattle, WA"
"HL2_Credits_VoiceRecordingText2"	"LA Studios, LA, CA"

"HL2_Credits_VoiceSchedulingTitle"	"Agendamento e logística da gravação de vozes:"
"HL2_Credits_VoiceSchedulingText"	"Pat Cockburn, Pure Audio"

"HL2_Credits_LegalTeam"			"Equipa legal:"
"HL2_Credits_FacesThanks"		"Agradecimentos pelo uso dos seus rostos:"
"HL2_Credits_SpecialThanks"		"Um agradecimento especial a todos na:"

"HL2_Annabelle"                 "ANNABELLE"
"HL2_AlyxGun"                   "PISTOLA DA ALYX"
"HL2_CitizenPackage"            "PACOTE DE SUSTENTO"
"HL2_CitizenSuitcase"           "MALA"
"HL2_Cubemap"                   "CUBEMAP"
"HL2_StunBaton"                 "BASTÃO ELÉTRICO"

"HL2_HIT_CANCOP_WITHCAN_NAME"		"Desafiador"
"HL2_HIT_CANCOP_WITHCAN_DESC"		"Acerta no polícia perto do caixote do lixo com a lata."
"HL2_PUT_CANINTRASH_NAME"		"Submisso"
"HL2_PUT_CANINTRASH_DESC"		"Põe a lata no lixo."
"HL2_ESCAPE_APARTMENTRAID_NAME"		"Insatisfeito"
"HL2_ESCAPE_APARTMENTRAID_DESC"		"Escapa à rusga no bloco de apartamentos."
"HL2_BREAK_MINITELEPORTER_NAME"		"Que Gato?"
"HL2_BREAK_MINITELEPORTER_DESC"		"Estraga o miniteletransportador no laboratório de Kleiner."
"HL2_GET_CROWBAR_NAME"			"Ferramenta de Confiança"
"HL2_GET_CROWBAR_DESC"			"Obtém o pé de cabra."
"HL2_KILL_BARNACLESWITHBARREL_NAME"	"Bowling de Barnacles"
"HL2_KILL_BARNACLESWITHBARREL_DESC"	"Mata cinco Barnacles com um barril."
"HL2_GET_AIRBOAT_NAME"			"Içar Âncora!"
"HL2_GET_AIRBOAT_DESC"			"Obtém o barco."
"HL2_FLOAT_WITHAIRBOAT_NAME"		"Apanhar Ar"
"HL2_FLOAT_WITHAIRBOAT_DESC"		"Flutua cinco segundos no ar com o barco."
"HL2_GET_AIRBOATGUN_NAME"		"Armas Pesadas"
"HL2_GET_AIRBOATGUN_DESC"		"Obtém a arma do barco."
"HL2_FIND_VORTIGAUNTCAVE_NAME"		"Vorti-Tosse"
"HL2_FIND_VORTIGAUNTCAVE_DESC"		"Descobre a caverna escondida do vortigaunt que canta no capítulo \"Obstáculo de Água\"."
"HL2_KILL_CHOPPER_NAME"			"Vingança!"
"HL2_KILL_CHOPPER_DESC"			"Destrói o helicóptero no Half-Life 2."
"HL2_FIND_HEVFACEPLATE_NAME"		"Do Fundo do Baú"
"HL2_FIND_HEVFACEPLATE_DESC"		"Encontra a placa frontal do carregador do fato HEV na sucata de Eli."
"HL2_GET_GRAVITYGUN_NAME"		"Energia de Ponto Zero"
"HL2_GET_GRAVITYGUN_DESC"		"Obtém a arma antigravidade em Black Mesa Leste."
"HL2_MAKEABASKET_NAME"			"Dois Pontos"
"HL2_MAKEABASKET_DESC"			"Usa a bola do DOG para marcar um cesto na sucata de Eli."
"HL2_BEAT_RAVENHOLM_NOWEAPONS_NAME"	"Corta-Zombies"
"HL2_BEAT_RAVENHOLM_NOWEAPONS_DESC"	"Passa Ravenholm usando apenas a arma antigravidade."
"HL2_BEAT_CEMETERY_NAME"		"Solo Sagrado"
"HL2_BEAT_CEMETERY_DESC"		"Escolta Grigori em segurança pelo cemitério da igreja."
"HL2_KILL_ENEMIES_WITHCRANE_NAME"	"Acidente de Trabalho"
"HL2_KILL_ENEMIES_WITHCRANE_DESC"	"Mata 3 inimigos usando a grua."
"HL2_PIN_SOLDIER_TOBILLBOARD_NAME"	"Publicidade Direcionada"
"HL2_PIN_SOLDIER_TOBILLBOARD_DESC"	"Prende um soldado ao cartaz no capítulo \"Autoestrada 17\"."
"HL2_KILL_ODESSAGUNSHIP_NAME"		"Onde Cubagge Receia Entrar"
"HL2_KILL_ODESSAGUNSHIP_DESC"		"Defende Little Odessa do ataque da nave de combate."
"HL2_KILL_THREEGUNSHIPS_NAME"		"Exército de Um Só Homem"
"HL2_KILL_THREEGUNSHIPS_DESC"		"Destrói seis naves de combate no Half-Life 2."
"HL2_BEAT_DONTTOUCHSAND_NAME"		"Não Pise a Areia!"
"HL2_BEAT_DONTTOUCHSAND_DESC"		"Atravessa a praia dos Antlions sem tocar na areia no capítulo \"Areias Perigosas\"."
"HL2_KILL_BOTHPRISONGUNSHIPS_NAME"	"Convidado Indesejado"
"HL2_KILL_BOTHPRISONGUNSHIPS_DESC"	"Destrói ambas as naves de combate no pátio de Nova Prospekt."
"HL2_KILL_ENEMIES_WITHANTLIONS_NAME"	"Caça com Insetos"
"HL2_KILL_ENEMIES_WITHANTLIONS_DESC"	"Usa os Antlions para matar 50 inimigos."
"HL2_KILL_ENEMY_WITHTOILET_NAME"	"Despejado"
"HL2_KILL_ENEMY_WITHTOILET_DESC"	"Mata um inimigo com uma sanita."
"HL2_BEAT_TURRETSTANDOFF2_NAME"		"Guarda Freeman"
"HL2_BEAT_TURRETSTANDOFF2_DESC"		"Sobrevive ao segundo confronto onde te defendes com torretas em Nova Prospekt."
"HL2_FOLLOWFREEMAN_NAME"		"Sigam o Freeman"
"HL2_FOLLOWFREEMAN_DESC"		"Assume o comando de uma equipa de rebeldes na revolta."
"HL2_BEAT_TOXICTUNNEL_NAME"		"Níveis de Radiação Detetados"
"HL2_BEAT_TOXICTUNNEL_DESC"		"Atravessa o túnel tóxico debaixo da Cidade 17 no Half-Life 2."
"HL2_BEAT_PLAZASTANDOFF_NAME"		"Defensor da Praça"
"HL2_BEAT_PLAZASTANDOFF_DESC"		"Sobrevive ao incidente na praça do gerador no capítulo \"Anti-Cidadão Um\"."
"HL2_KILL_ALLC1709SNIPERS_NAME"		"Anti-Sniper"
"HL2_KILL_ALLC1709SNIPERS_DESC"		"Mata todos os snipers na Cidade 17."
"HL2_BEAT_SUPRESSIONDEVICE_NAME"	"Combate o Poder"
"HL2_BEAT_SUPRESSIONDEVICE_DESC"	"Desliga o dispositivo de supressão desativando os seus geradores."
"HL2_BEAT_C1713STRIDERSTANDOFF_NAME"	"Mata-Gigantes"
"HL2_BEAT_C1713STRIDERSTANDOFF_DESC"	"Sobrevive à batalha com o Strider no telhado das ruínas da Cidade 17."
"HL2_DISINTEGRATE_SOLDIERSINFIELD_NAME"	"Atomizador"
"HL2_DISINTEGRATE_SOLDIERSINFIELD_DESC"	"Desintegra 15 soldados atirando-os para um campo de bolas dos Combine."
"HL2_BEAT_GAME_NAME"			"Colapso da Singularidade"
"HL2_BEAT_GAME_DESC"			"Destrói o núcleo do reator da Cidadela."
"HL2_FIND_ALLLAMBDAS_NAME"		"Localizador de Lambdas"
"HL2_FIND_ALLLAMBDAS_DESC"		"Encontra todos os caixotes marcados com um lambda no Half-Life 2."
} 
}
