"lang" 
{ 
"Language" "turkish" 
"Tokens" 
{ 
"HL2_Chapter1_Title"		"ANLAMLI KATILIM"
"HL2_Chapter2_Title"		"\"TARİHİ BİR GÜN\""
"HL2_Chapter3_Title"		"ROTA KANAL"
"HL2_Chapter4_Title"		"TEHLİKELİ SULAR"
"HL2_Chapter5_Title"		"BLACK MESA DOĞU"
"HL2_Chapter6_Title"		"\"RAVENHOLM'A GİTMEYİZ...\""
"HL2_Chapter7_Title"		"17. OTOYOL"
"HL2_Chapter8_Title"		"KUM KAPANI"
"HL2_Chapter9_Title"		"NOVA PROSPEKT"
"HL2_Chapter9a_Title"		"KARMAŞA"
"HL2_Chapter10_Title"		"BAŞKALDIRAN"
"HL2_Chapter11_Title"		"\"FREEMAN'I TAKİP EDİN!\""
"HL2_Chapter12_Title"		"HAYIRSEVERLERİMİZ"
"HL2_Chapter13_Title"		"KARANLIK ENERJİ"
"HL2_Chapter14_Title"		"JENERİK"

"hl2_AmmoFull"			"DOLU"

"HL2_GameOver_Object"			"GÖREV: FESHEDİLDİ\nÖZNE: FREEMAN\nNEDEN: GÖREVİN KRİTİK KAYNAKLARINI KORUMADA BAŞARISIZ OLUNDU"

"HL2_GameOver_Ally"			"GÖREV: FESHEDİLDİ\nÖZNE: FREEMAN\nNEDEN: GÖREVİN KRİTİK PERSONELİNİ KORUMADA BAŞARISIZ OLUNDU"

"HL2_GameOver_Timer"			"GÖREV: FESHEDİLDİ\nÖZNE: FREEMAN\nNEDEN: KRİTİK GİDİŞAT ZAMANINDA ÖNLENEMEDİ"

"HL2_GameOver_Stuck"			"GÖREV: FESHEDİLDİ\nÖZNE: FREEMAN\nNEDEN: VERİLEN KARARIN KÖTÜ SONUÇLAR DOĞURMASI"

"HL2_357Handgun"	".357 MAGNUM"
"HL2_Pulse_Rifle"	"STANDART GÜVENLİK GÜÇLERİ EKİPMANI\n(ENERJİ TÜFEĞİ)"
"HL2_Bugbait"		"PHEROPOD\n(BÖCEK YEMİ)"
"HL2_Crossbow"		"ARBALET"
"HL2_Crowbar"		"LEVYE"
"HL2_Grenade"		"EL BOMBASI"
"HL2_GravityGun"	"SIFIR-NOKTASAL ENERJİ SİLAHI\n(YER ÇEKİMİ SİLAHI)"
"HL2_Pistol"		"9MMLİK TABANCA"
"HL2_RPG"		"ROKETATAR\n(ROKET GÜDÜMLÜ BOMBA)"
"HL2_Shotgun"		"AV TÜFEĞİ"
"HL2_SMG1"		"SMG\n(HAFİF MAKİNELİ SİLAH)"

"HL2_Saved"		"Kaydedildi..."

"HL2_Credits_VoicesTitle"		"Seslendirenler:"
"HL2_Credits_Eli"			"Robert Guillaume - Dr. Eli Vance"
"HL2_Credits_Breen"			"Robert Culp - Dr. Wallace Breen"
"HL2_Credits_Vortigaunt"		"Lou Gossett, Jr. - Vortigaunt"
"HL2_Credits_Mossman"			"Michelle Forbes - Dr. Judith Mossman"
"HL2_Credits_Alyx"			"Merle Dandridge - Alyx Vance"
"HL2_Credits_Barney"			"Mike Shapiro - Barney Calhoun"
"HL2_Credits_Gman"			"Mike Shapiro - Gman"
"HL2_Credits_Kleiner"			"Harry S. Robins - Dr. Isaac Kleiner"
"HL2_Credits_Grigori"			"Jim French - Peder Grigori"
"HL2_Credits_Misc1"			"John Patrick Lowrie - Siviller\\Çeşitli karakterler"
"HL2_Credits_Misc2"			"Mary Kae Irvin - Siviller\\Çeşitli karakterler"
"HL2_Credits_Overwatch"			"Ellen McLane - Overwatch"

"HL2_Credits_VoiceCastingTitle"		"Seslendirme Kadrosu:"
"HL2_Credits_VoiceCastingText"		"Shana Landsburg\\Teri Fiddleman"

"HL2_Credits_VoiceRecordingTitle"	"Ses Kayıt:"
"HL2_Credits_VoiceRecordingText1"	"Pure Audio, Seattle, WA"
"HL2_Credits_VoiceRecordingText2"	"LA Studios, LA, CA"

"HL2_Credits_VoiceSchedulingTitle"	"Ses kayıt programı ve lojistik:"
"HL2_Credits_VoiceSchedulingText"	"Pat Cockburn, Pure Audio"

"HL2_Credits_LegalTeam"			"Yasal Deneme Takımı:"
"HL2_Credits_FacesThanks"		"Yüzlerini kullandığımız kişilere teşekkürler:"
"HL2_Credits_SpecialThanks"		"Özel teşekkürler:"

"HL2_Annabelle"                 "ANNABELLE"
"HL2_AlyxGun"                   "ALYX TABANCASI"
"HL2_CitizenPackage"            "KUMANYA"
"HL2_CitizenSuitcase"           "BAVUL"
"HL2_Cubemap"                   "CUBEMAP"
"HL2_StunBaton"                 "ŞOK COPU"

"HL2_HIT_CANCOP_WITHCAN_NAME"		"Muhalif"
"HL2_HIT_CANCOP_WITHCAN_DESC"		"Çöp kutusunun yanındaki polise teneke kutu ile vur."
"HL2_PUT_CANINTRASH_NAME"		"İtaatkâr"
"HL2_PUT_CANINTRASH_DESC"		"Teneke kutuyu çöpe at."
"HL2_ESCAPE_APARTMENTRAID_NAME"		"Tatminsiz"
"HL2_ESCAPE_APARTMENTRAID_DESC"		"Apartman baskınından kaç."
"HL2_BREAK_MINITELEPORTER_NAME"		"Ne kedisi?"
"HL2_BREAK_MINITELEPORTER_DESC"		"Kleiner'ın laboratuvarındaki mini ışınlayıcıyı boz."
"HL2_GET_CROWBAR_NAME"			"Güvenilir Teçhizat"
"HL2_GET_CROWBAR_DESC"			"Levyeyi al."
"HL2_KILL_BARNACLESWITHBARREL_NAME"	"Kıskaç Bovlingi"
"HL2_KILL_BARNACLESWITHBARREL_DESC"	"Tek varille beş kıskaç öldür."
"HL2_GET_AIRBOAT_NAME"			"Demir Alma Vakti!"
"HL2_GET_AIRBOAT_DESC"			"Bota bin."
"HL2_FLOAT_WITHAIRBOAT_NAME"		"Havayı Yakalamak"
"HL2_FLOAT_WITHAIRBOAT_DESC"		"Bot ile beş saniye boyunca havada süzül."
"HL2_GET_AIRBOATGUN_NAME"		"Ağır Silahlar"
"HL2_GET_AIRBOATGUN_DESC"		"Bota yerleşik silah eklettir."
"HL2_FIND_VORTIGAUNTCAVE_NAME"		"Vorti Şarkısı"
"HL2_FIND_VORTIGAUNTCAVE_DESC"		"Tehlikeli Sular bölümündeki gizli şarkı söyleyen vortiguant mağarasını keşfet."
"HL2_KILL_CHOPPER_NAME"			"İntikam!"
