"lang" 
{ 
	"Language" "brazilian" 
	
	"Tokens" 
	{ 
		//----------------------------------------------------------------------------------------
		// HTTP-specific
		//----------------------------------------------------------------------------------------
		"HTTPError_ZeroLengthFile"		"Arquivo de tamanho nulo"
		"HTTPError_ConnectionClosed"	"Conexão interrompida"
		"HTTPError_InvalidURL"			"URL inválido"
		"HTTPError_InvalidProtocol"		"Protocolo inválido"
		"HTTPError_CantBindSocket"		"Não foi possível vincular o soquete"
		"HTTPError_CantConnect"			"Não foi possível conectar"
		"HTTPError_NoHeaders"			"Sem cabeçalhos"
		"HTTPError_NonExistent"			"Arquivo não existente"
		"HTTPError_Unknown"				"Erro desconhecido"

		//----------------------------------------------------------------------------------------
		// Replay
		//----------------------------------------------------------------------------------------
		"Replay_SaveReplay"					"Salve um replay de sua vida atual ou anterior"
		"Replay_freezecam_replay"	"[%s1] Crie um replay!"

		"Replay_Saving"					"Salvando"
		"Replay_Yes"					"Sim"
		"Replay_No"						"Não"
		"Replay_Download"				"Baixar"
		"Replay_Delete"					"Excluir"
		"Replay_Save"					"CREATE REPLAY"
		"Replay_NameYourReplay"			"NOMEIE O SEU REPLAY"
		"Replay_Untitled"				"%s1 sem título"
		"Replay_EnterYourName"			"Insira um nome aqui para ajudá-lo a identificar este Replay mais tarde."
		"Replay_StartDownloadAuto"		"Iniciar download automaticamente quando o arquivo de Replay estiver disponível no servidor."
		"Replay_NeverShowAgain"			"Não exibir esta mensagem novamente!"

		"Replay_NameYourTake"			"NOMEIE A SUA TOMADA"
		"Replay_NameFinePrint"			"Insira um nome aqui para ajudá-lo a identificar esta tomada mais tarde."
		"Replay_Discard"				"X DESCARTAR"
		"Replay_SavePerformance"		"SALVAR"

		"Replay_GotoTickTitle"			"Ir para tempo"
		"Replay_GotoTickRewindText"		"Voltar para %time%? Demorará um pouco para rebobinar o replay."
		"Replay_GotoTickFastForwardText"	"Avançar para %time%?"

		"Replay_DiscardTitle"			"Descartar alterações?"
		"Replay_DiscardChanges"			"Você tem alterações não salvas. Descartar?\n\nAVISO: Você pode salvar clicando no botão menu no canto superior esquerdo e selecionando SALVAR ou SALVAR COMO."

		"Replay_ExitEditorTitle"		"PRONTO?"
		"Replay_BackToReplays"			"Isso irá levá-lo de volta para os seus replays."

		"ReplayBrowserDlg_Downloaded"	"Baixado"
		"ReplayBrowserDlg_Rendered"		"Renderizado"
		"ReplayBrowserDlg_Deletion"		"Tempo restante"
		"ReplayBrowserDlg_Filename"		"Nome do arquivo"
		"ReplayBrowserDlg_Map"			"Mapa"
		"ReplayBrowserDlg_Server"		"Servidor"
		"ReplayBrowserDlg_RecordTime"	"Gravado em"
		"ReplayBrowserDlg_Length"		"Duração"
		"ReplayBrowserDlg_Size"			"Tamanho (MB)"

		"ReplayBrowserDlg_NoDemos"		"Sem demos para exibir."
		"ReplayBrowserDlg_ShowAll"		"Exibir todos"
		"ReplayBrowserDlg_XMoreReplays"	"Mais %s1!"

		"Replay_MyReplays"				"REPLAYS"
		"Replay_Replay"					"REPLAYS"
		"Replay_ReplayMsgTitle"			"REPLAY"
		"Replay_Connecting"				"CONECTANDO"
		"Replay_RecordingInProgress"	"GRAVAÇÃO EM ANDAMENTO"
		"Replay_Error"					"ERRO"
		"Replay_CantExport"				"NÃO É POSSÍVEL EXPORTAR"
		"Replay_CantUpload"				"NÃO É POSSÍVEL ENVIAR"
		"Replay_Downloading"			"BAIXANDO"
		"Replay_Waiting"				"ESPERANDO"
		"Replay_UnrenderedReplays"		"REPLAYS TEMPORÁRIOS (%s1) :"
		"Replay_SavedMovies"			"FILMES SALVOS (%s1) :"
		"Replay_ConversionWarning"		"Replays temporários podem ser perdidos na próxima atualização se não forem salvos."
		"Replay_RenderAll"				"SALVAR TUDO..."
		"Replay_StartRecord"			"Este servidor está pronto para capturar replays."
