"lang" 
{ 
	"Language" "ukrainian" 
	
	"Tokens" 
	{ 
		//----------------------------------------------------------------------------------------
		// HTTP-specific
		//----------------------------------------------------------------------------------------
		"HTTPError_ZeroLengthFile"		"Файл нульового розміру"
		"HTTPError_ConnectionClosed"	"З’єднання закрито"
		"HTTPError_InvalidURL"			"Хибне посилання"
		"HTTPError_InvalidProtocol"		"Хибний протокол"
		"HTTPError_CantBindSocket"		"Не вдалося зіставити сокет"
		"HTTPError_CantConnect"			"Не вдалося підключитися"
		"HTTPError_NoHeaders"			"Немає заголовків"
		"HTTPError_NonExistent"			"Файл не існує"
		"HTTPError_Unknown"				"Невідома помилка"

		//----------------------------------------------------------------------------------------
		// Replay
		//----------------------------------------------------------------------------------------
		"Replay_SaveReplay"					"Збережіть повтор вашого поточного або останнього життя"
		"Replay_freezecam_replay"	"[%s1] Створити повтор!"

		"Replay_Saving"					"Збереження"
		"Replay_Yes"					"Так"
		"Replay_No"						"Ні"
		"Replay_Download"				"Завантажити"
		"Replay_Delete"					"Видалити"
		"Replay_Save"					"CREATE REPLAY"
		"Replay_NameYourReplay"			"НАЗВІТЬ СВІЙ ПОВТОР"
		"Replay_Untitled"				"Без назви %s1"
		"Replay_EnterYourName"			"Уведіть тут назву, щоб легше згодом розпізнати цей повтор."
		"Replay_StartDownloadAuto"		"Автоматично почати завантаження, коли файл повтору буде доступний на сервері."
		"Replay_NeverShowAgain"			"Більше ніколи не показувати!"

		"Replay_NameYourTake"			"НАЗВІТЬ СВІЙ ДУБЛЬ"
		"Replay_NameFinePrint"			"Уведіть назву тут, щоб легше згодом розпізнати цей дубль."
		"Replay_Discard"				"X СКИНУТИ"
		"Replay_SavePerformance"		"ЗБЕРЕГТИ"

		"Replay_GotoTickTitle"			"Перемотати на час"
		"Replay_GotoTickRewindText"		"Перейти назад до відмітки %time%? Перемотування займе певний час."
		"Replay_GotoTickFastForwardText"	"Перейти вперед до відмітки %time%?"

		"Replay_DiscardTitle"			"Скасувати зміни?"
		"Replay_DiscardChanges"			"Ви маєте незбережені зміни. Скасувати?\n\nЗВЕРНІТЬ УВАГУ: Ви можете зберегти зміни, натиснувши на кнопку меню у верхньому лівому куті і обравши пункт ЗБЕРЕГТИ або ЗБЕРЕГТИ ЯК."

		"Replay_ExitEditorTitle"		"Завершити?"
		"Replay_BackToReplays"			"Це відправить вас назад до ваших повторів."

		"ReplayBrowserDlg_Downloaded"	"Завантажені"
		"ReplayBrowserDlg_Rendered"		"Оброблено"
		"ReplayBrowserDlg_Deletion"		"Залишилось часу"
		"ReplayBrowserDlg_Filename"		"Назва файлу"
		"ReplayBrowserDlg_Map"			"Мапа"
		"ReplayBrowserDlg_Server"		"Сервер"
		"ReplayBrowserDlg_RecordTime"	"Записано"
		"ReplayBrowserDlg_Length"		"Тривалість"
		"ReplayBrowserDlg_Size"			"Розмір (МБ)"

		"ReplayBrowserDlg_NoDemos"		"Відсутні демо для показу."
		"ReplayBrowserDlg_ShowAll"		"Показати всі"
		"ReplayBrowserDlg_XMoreReplays"	"ще %s1!"

		"Replay_MyReplays"				"ПОВТОРИ"
		"Replay_Replay"					"ПОВТОРИ"
		"Replay_ReplayMsgTitle"			"ПОВТОР"
		"Replay_Connecting"				"ПІДКЛЮЧЕННЯ"
		"Replay_RecordingInProgress"	"ТРИВАЄ ЗАПИС"
		"Replay_Error"					"ПОМИЛКА"
		"Replay_CantExport"				"НЕМОЖЛИВО ЕКСПОРТУВАТИ"
		"Replay_CantUpload"				"НЕМОЖЛИВО ЗАВАНТАЖИТИ"
		"Replay_Downloading"			"ЗАВАНТАЖЕННЯ"
		"Replay_Waiting"				"ОЧІКУВАННЯ"
		"Replay_UnrenderedReplays"		"ТИМЧАСОВІ ПОВТОРИ (%s1):"
		"Replay_SavedMovies"			"ЗБЕРЕЖЕНІ ФІЛЬМИ (%s1) :"
		"Replay_ConversionWarning"		"Ці не збережені повтори — тимчасові, тому з наступним оновленням гри можуть пропасти."
		"Replay_RenderAll"				"ЗБЕРЕГТИ ВСЕ…"
		"Replay_StartRecord"			"Сервер готовий до запису повторів."
		"Replay_EndRecord"				"Сервер більше не записує повтори. Будь-які збережені повтори готові до завантаження."
		"Replay_ReplaysAvailable"		"Повтори з попереднього раунду готові до завантаження."
		"Replay_ReplaySavedAlive"		"Ваш повтор почне завантажуватися після вашої загибелі."
		"Replay_ReplaySavedDead"		"Ваш повтор був збережений, почне завантажуватися за мить."
		"Replay_AlreadySaved"			"Повтор вже створений! Зайдіть у ПОВТОРИ в головному меню, щоби його переглянути."
		"Replay_NoListenServer"			"Повтори не підтримуються на серверах зі спільним з грою процесом."
		"Replay_NotEnabled"				"На цьому сервері повтори наразі вимкнено."
		"Replay_NotRecording"			"Наразі сервер не записує повтори."
		"Replay_ConnectRecording"		"Цей сервер здатний записувати повтори.\nНатисніть [ %s1 ] будь-якої миті для створення повтору вашого поточного життя.\n\nЗауважте: якщо натиснуто під час нагляду, буде записане ваше попереднє життя."
		"Replay_ReplaySaveContext"		"Натисніть [ %s1 ] будь-якої миті для створення повтору поточного життя. Якщо натиснути під час нагляду, буде записане попереднє життя."
		"Replay_HideThisMessage"		"[ %s1 ], щоб приховати це повідомлення"
		"Replay_DefaultServerError"		"У сервера виникла помилка при обробці повторів для останнього раунду."
		"Replay_NoReplays"				"НАРАЗІ ВИ НЕ МАЄТЕ ЖОДНОГО ПОВТОРУ.\nНАТИСНІТЬ [ %s1 ] ПІД ЧАС ГРИ ДЛЯ ЙОГО СТВОРЕННЯ."
		"Replay_NoMovies"				"НАРАЗІ ВИ НЕ МАЄТЕ ЗБЕРЕЖЕНИХ ФІЛЬМІВ..\nВИ МОЖЕТЕ КОНВЕРТУВАТИ ПОВТОРИ У ФІЛЬМИ, ЩОБ ДІЛИТИСЯ\nНИМИ ЗІ СВОЇМИ ДРУЗЯМИ."
		"Replay_NoCuts"					"НАРАЗІ ВИ НЕ МАЄТЕ ЖОДНОГО ЗБЕРЕЖЕНОГО ДУБЛЮ. НАТИСНІТЬ НА КНОПКУ ПЕРЕГЛЯДУ НИЖЧЕ, А ПІСЛЯ ЗАВАНТАЖЕННЯ ПОВТОРУ НАТИСНІТЬ «ПРОБІЛ» <SPACE> ДЛЯ ВХОДУ ДО РЕДАКТОРА ПОВТОРІВ."
		"Replay_Kills"					"УБИВСТВ"
		"Replay_StatKilledBy"				"УБИТО"
		"Replay_OnMap"					"НА МАПІ"
		"Replay_Life"					"ТРИВАЛІСТЬ"
		"Replay_None"					"< ЖОДНОГО >"
		"Replay_RenderTime"				"ТРИВ. ОБРОБКИ"
		"Replay_DefaultDetailsTitle"	"< клацніть для зміни назви >"
		"Replay_Watch"					"ДИВИТИСЯ / РЕДАГУВАТИ"
		"Replay_YouTubeUpload"			"НА YOUTUBE"
		"Replay_YouTube"				"YouTube™"
		"Replay_YouTubeView"			"ПЕРЕГЛЯНУТИ НА YOUTUBE"
		"Replay_YouTubeShareURL"		"КОПІЮВАТИ АДРЕСУ"
		"Replay_CopyURL_Title"			"Адреса скопійована!"
		"Replay_CopyURL_Text"			"Адреса фільму на YouTube™ була скопійована до вашого буфера обміну."
		"Replay_ClickToEdit"			"КЛАЦНІТЬ ДЛЯ РЕДАГУВАННЯ"
		"Replay_PlayedAs"				"КЛАС:"
		"Replay_KilledBy"				"ВБИВЦЯ:"
		"Replay_LifeLength"				"ТРИВАЛІСТЬ:"
		"Replay_NoKiller"				"БЕЗ ВБИВЦІ"
		"Replay_SaveThisLifeMsg"		"Натисніть [%s1] для збереження повтору цього життя!"
		"Replay_DownloadComplete"		"…завантажено! Зайдіть у ПОВТОРИ в головному меню, щоб переглянути цей повтор."
		"Replay_DownloadFailed"			"…збій завантаження!"
		"Replay_NoKeyBoundNoReplays"	"У вас не налаштована клавіша для збереження повторів! Перейдіть у\nНАЛАШТУВАННЯ -> КЛАВІАТУРА -> ІНШЕ, щоб її налаштувати."
		"Replay_NoScreenshot"			"НЕМАЄ ЗНІМКА ЕКРАНА"
		"Replay_GenericMsgTitle"		"Повтор"
		"Replay_SearchText"				"Пошук"
		"Replay_PlayVoice"				"Додати голосовий чат"
		"Replay_RenderAdvancedOptions"	"Показати розширені параметри"
		"Replay_RenderSetting"			"Якість відео:"
		"Replay_RenderSetting_Low"		"Чорновик"
		"Replay_RenderSetting_Medium"	"Звичайна"
		"Replay_RenderSetting_High"		"Висока"
		"Replay_RenderSetting_Max"		"Максимальна"
		"Replay_RenderEstimate_Time"	"Приблизний час на обробку: %s1 — %s2"
		"Replay_RenderEstimate_File"	"Приблизний розмір файлу: %s1 кБ"
